run_id	batch_idx	role	status	gpu_id	runtime_sec	metric_value	started_at_utc	finished_at_utc	sam_model_level_inst	sam_points_per_side	sam_points_per_batch	sam_crop_n_layers	sam_pred_iou_thresh	sam_stability_score_thresh	result_json	stdout_log	stderr_log	comment
129	8	search	ok	9	107.31261474080384	0.26736345710909387	2026-04-12T04:04:49.880568+00:00	2026-04-12T04:06:37.193745+00:00	24	16	32	0	0.92	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run129.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run129.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run129.stderr.log	adaptive batch 8
124	8	search	ok	4	179.63666290789843	0.2921126333173994	2026-04-12T04:04:49.866638+00:00	2026-04-12T04:07:49.506353+00:00	24	24	256	0	0.88	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run124.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run124.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run124.stderr.log	adaptive batch 8
122	8	search	ok	1	189.38087163399905	0.29497289190361753	2026-04-12T04:04:49.864778+00:00	2026-04-12T04:07:59.246287+00:00	24	24	256	0	0.88	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run122.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run122.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run122.stderr.log	adaptive batch 8
130	8	search	ok	1	173.3318934030831	0.2490877506407657	2026-04-12T04:08:00.046820+00:00	2026-04-12T04:10:53.379068+00:00	24	8	64	1	0.84	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run130.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run130.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run130.stderr.log	adaptive batch 8
131	8	search	ok	3	237.74262068979442	0.278485949749796	2026-04-12T04:08:00.047424+00:00	2026-04-12T04:11:57.790338+00:00	24	12	128	1	0.92	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run131.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run131.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run131.stderr.log	adaptive batch 8
135	8	search	ok	7	241.59007821790874	0.28056430707036306	2026-04-12T04:08:00.057149+00:00	2026-04-12T04:12:01.648180+00:00	13	16	128	0	0.92	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run135.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run135.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run135.stderr.log	adaptive batch 8
136	8	search	ok	8	279.60584703227505	0.28331178475078883	2026-04-12T04:08:00.058756+00:00	2026-04-12T04:12:39.665000+00:00	13	16	256	0	0.88	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run136.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run136.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run136.stderr.log	adaptive batch 8
137	8	search	ok	9	286.6011521536857	0.2829594935338938	2026-04-12T04:08:00.060901+00:00	2026-04-12T04:12:46.662995+00:00	13	16	256	0	0.84	0.92	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run137.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run137.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run137.stderr.log	adaptive batch 8
134	8	search	ok	6	571.5201018378139	0.2390317123722155	2026-04-12T04:08:00.052757+00:00	2026-04-12T04:17:31.573744+00:00	24	8	128	2	0.88	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run134.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run134.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run134.stderr.log	adaptive batch 8
132	8	search	ok	4	584.0952642681077	0.23903208194249775	2026-04-12T04:08:00.048222+00:00	2026-04-12T04:17:44.144070+00:00	24	8	32	2	0.88	0.95	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run132.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run132.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run132.stderr.log	adaptive batch 8
133	8	search	ok	5	584.5180623452179	0.24789148044654308	2026-04-12T04:08:00.050309+00:00	2026-04-12T04:17:44.571447+00:00	24	8	128	2	0.92	0.9	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/results/run133.json	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run133.stdout.log	/robodata/smodak/repos/ovo/amg_tuning_office0_systematic_100/logs/run133.stderr.log	adaptive batch 8
